smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,failure
100,0,148,48,87,290,100,10,100,0,100,0,140,15,100,2885,100,0,100,10,100,0,100,6553700,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,100,129,100,129,66,30,100,0,100,0,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
100,0,130,100,100,0,100,8,100,0,100,0,128,18,95,37108,100,0,100,8,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,99,1393,99,1393,157,38,100,0,100,8,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,1
100,0,131,99,100,0,100,6,100,127,100,0,128,18,95,38817,100,0,100,6,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,99,1539,99,1539,181,33,100,127,100,400,100,2,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,1
100,0,70,0,100,8421,100,7,100,0,100,0,100,0,43,23141,100,0,100,7,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,0,100,6,100,1147,100,23,100,0,100,15,100,15,200,0,100,0,100,134217731,44,22527,100,0,100,0,100,536,100,0,100,1.31052E+11,100,5.2985E+11,1
73,20002408,116.2461082,0,95,0,100,5,100,1200,85,306277562,116.028169,7.876204596,83,15543,100,0,100,5,100,0,100,100,100,0,100,0,1,37421,100,0,53,47,100,30,100,2,98,4621,47,47,100,0,100,312,100,312,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,15089,100,1.81812E+11,100,2.9383E+11,1
100,0,100,0,162,407,100,49,100,0,100,0,100,0,93,52624,100,0,100,49,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,99,2328,99,2328,176,34,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
100,0,149,44,84,327,100,11,100,0,100,0,140,15,98,16618,100,0,100,11,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,100,1347,100,1347,63,32,100,0,100,0,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
100,0,90,0,100,8073,100,12,100,3,100,0,100,0,50,20237,100,0,100,12,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,2,100,11,100,519,100,34,100,1,100,0,100,0,200,0,100,0,100,84934659,51,19930,100,0,100,0,100,592,100,0,100,1.31052E+11,100,5.2985E+11,0
81,113784184,116.2461082,0,91,0,100,8,100,0,86,379616297,116.028169,7.876204596,69,27876,100,0,100,8,100,0,100,100,100,0,100,0,100,0,100,0,60,40,100,30,100,7,98,4049,40,40,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,27135,100,2.03874E+11,100,5.01078E+11,0
100,0,100,0,100,7808,100,5,100,0,100,0,100,0,23,31025,100,0,100,5,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,11,100,1,100,135,100,34,100,0,100,0,100,0,200,0,100,0,100,917505,23,30848,100,0,100,0,100,588,100,0,100,1.31052E+11,100,5.2985E+11,0
81,138907552,116.2461082,0,84,0,100,21,100,24,92,1560023176,116.028169,7.876204596,23,67663,100,0,100,21,100,0,100,100,100,0,100,0,100,0,100,0,76,24,96,9072,100,6,55,90655,24,24,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,67600,100,1.12466E+11,100,5.81446E+11,1
73,20595000,116.2461082,0,98,0,100,2,100,0,82,168328948,116.028169,7.876204596,70,26562,100,0,100,2,100,0,100,100,100,0,100,0,100,0,100,0,72,28,100,30,100,1,98,5020,28,28,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,24643,100,2.07024E+11,100,4.58285E+11,0
100,0,100,0,100,7885,100,9,100,0,100,0,100,0,4,38457,100,0,100,9,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,1580,100,3,100,99,100,32,100,0,100,0,100,0,200,0,100,0,100,151388162,5,38394,100,0,100,0,100,582,100,0,100,1.31052E+11,100,5.2985E+11,0
100,0,135,100,83,352,100,14,100,0,100,0,140,15,99,8056,100,0,100,14,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,100,382,100,382,56,38,100,0,100,0,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
100,0,100,0,100,7980,100,2,100,2,100,0,100,0,98,919,100,0,100,2,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,0,100,0,100,3,100,33,100,2,100,0,100,0,200,0,100,0,100,35520518,98,919,100,0,100,0,100,592,100,0,100,1.31052E+11,100,5.2985E+11,1
47,33531834,116.2461082,0,90,0,100,42,100,904,77,69479787972,116.028169,7.876204596,53,41928,100,0,100,40,100,0,100,100,100,0,100,0,1,331,100,65537,68,32,100,30,100,28,99,3806,32,32,100,0,96,2480,96,2480,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,41301,100,1.35475E+11,100,4.92245E+11,1
100,0,100,0,100,8001,100,19,99,182,100,0,100,0,73,11027,100,0,100,19,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,35,100,18,100,38,100,26,100,31,100,0,100,0,200,0,100,0,100,151912451,74,10462,100,0,100,0,100,530,100,0,100,1.31052E+11,100,5.2985E+11,1
100,0,148,49,84,340,100,9,100,0,100,0,140,15,100,9529,100,0,100,9,100,0,100,6553700,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,100,421,100,421,61,34,100,0,100,0,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
100,0,100,0,157,420,100,26,100,5,100,0,100,0,93,50949,100,0,100,26,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,99,1848,99,1848,176,34,100,5,100,42,100,148,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,1
68,6937752,116.2461082,0,94,0,100,5,100,512,88,4869518825,116.028169,7.876204596,59,36775,100,0,100,5,100,0,100,100,100,0,100,0,55,45,100,65537,66,34,100,30,100,2,99,3613,34,34,100,0,94,4016,94,4016,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,36197,100,1.51625E+11,100,5.37347E+11,1
100,0,100,0,163,405,100,13,100,0,100,0,100,0,93,52562,100,0,100,13,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,99,2266,99,2266,166,36,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
74,80348061,148,47,85,351,100,15,100,0,100,0,140,15,100,2743,100,0,100,15,100,0,100,6553700,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,100,129,100,129,69,28,100,0,100,624,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,1
100,0,90,0,100,8093,100,10,100,0,100,0,100,0,66,13830,100,0,100,10,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,0,100,9,100,33,100,40,100,0,100,0,100,0,200,0,100,0,100,220332038,72,11419,100,0,100,0,100,592,100,0,100,1.31052E+11,100,5.2985E+11,0
100,0,148,48,83,347,100,18,100,0,100,0,140,15,99,13278,100,0,100,18,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,100,971,100,971,49,44,100,0,100,0,100,0,100,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,0
100,0,100,0,100,8122,100,14,100,0,100,0,100,0,78,9143,100,0,100,14,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,13,100,13,100,29,100,34,100,0,100,2,100,2,200,0,100,0,100,252051462,78,8878,100,0,100,0,100,597,100,0,100,1.31052E+11,100,5.2985E+11,1
66,233193928,116.2461082,0,90,0,100,10,100,0,89,792225288,116.028169,7.876204596,57,37773,100,0,100,10,100,0,100,100,100,0,100,0,63,37,100,0,67,33,100,30,100,2,99,2014,33,33,100,0,98,1648,98,1648,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,37459,100,1.51382E+11,100,5.32934E+11,1
